Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LSK,Volume BTC,,,,,,
1591552800,2020-06-07 06-PM,LSKBTC,7434.944238,7315.288954,7485.02994,7380.073801,159.04,0.02152,,,,,,
1591549200,2020-06-07 05-PM,LSKBTC,7434.944238,7326.007326,7446.016381,7434.944238,82.08,0.0111,,,,,,
1591545600,2020-06-07 04-PM,LSKBTC,7485.02994,7315.288954,7485.02994,7434.944238,51.56,0.006933,,,,,,
1591542000,2020-06-07 03-PM,LSKBTC,7530.120482,7385.524372,7530.120482,7485.02994,72.56,0.009741,,,,,,
1591538400,2020-06-07 02-PM,LSKBTC,7535.795026,7429.420505,7535.795026,7530.120482,1057.86,0.1406,,,,,,
1591534800,2020-06-07 01-PM,LSKBTC,7535.795026,7535.795026,7535.795026,7535.795026,0,0,,,,,,
1591531200,2020-06-07 12-PM,LSKBTC,7429.420505,7429.420505,7535.795026,7535.795026,12.56,0.001675,,,,,,
1591527600,2020-06-07 11-AM,LSKBTC,7352.941176,7352.941176,7598.784195,7429.420505,111.22,0.01493,,,,,,
1591524000,2020-06-07 10-AM,LSKBTC,7272.727273,7272.727273,7352.941176,7352.941176,12.95,0.001763,,,,,,
1591520400,2020-06-07 09-AM,LSKBTC,7315.288954,7272.727273,7315.288954,7272.727273,1.454,0.0002,,,,,,
1591516800,2020-06-07 08-AM,LSKBTC,7220.216606,7220.216606,7315.288954,7315.288954,4.96,0.0006795,,,,,,
1591513200,2020-06-07 07-AM,LSKBTC,7278.020378,7220.216606,7331.378299,7220.216606,16.07,0.002212,,,,,,
1591509600,2020-06-07 06-AM,LSKBTC,7309.94152,7278.020378,7336.757153,7278.020378,10.65,0.001453,,,,,,
1591506000,2020-06-07 05-AM,LSKBTC,7309.94152,7309.94152,7309.94152,7309.94152,0,0,,,,,,
1591502400,2020-06-07 04-AM,LSKBTC,7309.94152,7309.94152,7309.94152,7309.94152,0,0,,,,,,
1591498800,2020-06-07 03-AM,LSKBTC,7220.216606,7220.216606,7309.94152,7309.94152,0.7992,0.0001094,,,,,,
1591495200,2020-06-07 02-AM,LSKBTC,7220.216606,7220.216606,7220.216606,7220.216606,0,0,,,,,,
1591491600,2020-06-07 01-AM,LSKBTC,7326.007326,7220.216606,7326.007326,7220.216606,108.08,0.01495,,,,,,
1591488000,2020-06-07 12-AM,LSKBTC,7326.007326,7326.007326,7326.007326,7326.007326,0,0,,,,,,
1591484400,2020-06-06 11-PM,LSKBTC,7326.007326,7326.007326,7326.007326,7326.007326,0,0,,,,,,
1591480800,2020-06-06 10-PM,LSKBTC,7326.007326,7326.007326,7326.007326,7326.007326,0,0,,,,,,
1591477200,2020-06-06 09-PM,LSKBTC,7278.020378,7220.216606,7326.007326,7326.007326,1199.3,0.1655,,,,,,
1591473600,2020-06-06 08-PM,LSKBTC,7278.020378,7278.020378,7278.020378,7278.020378,0,0,,,,,,
1591470000,2020-06-06 07-PM,LSKBTC,7278.020378,7278.020378,7278.020378,7278.020378,0,0,,,,,,
1591466400,2020-06-06 06-PM,LSKBTC,7326.007326,7278.020378,7326.007326,7278.020378,3.094,0.0004252,,,,,,
1591462800,2020-06-06 05-PM,LSKBTC,7199.424046,7052.186178,7326.007326,7326.007326,114.88,0.01593,,,,,,
1591459200,2020-06-06 04-PM,LSKBTC,7199.424046,7199.424046,7199.424046,7199.424046,1.974,0.0002742,,,,,,
1591455600,2020-06-06 03-PM,LSKBTC,7173.601148,7173.601148,7199.424046,7199.424046,9.985,0.001388,,,,,,
1591452000,2020-06-06 02-PM,LSKBTC,7173.601148,7173.601148,7173.601148,7173.601148,0,0,,,,,,
1591448400,2020-06-06 01-PM,LSKBTC,7092.198582,7092.198582,7173.601148,7173.601148,14.23,0.001985,,,,,,
1591444800,2020-06-06 12-PM,LSKBTC,7092.198582,7092.198582,7092.198582,7092.198582,7.66,0.00108,,,,,,
1591441200,2020-06-06 11-AM,LSKBTC,7092.198582,7092.198582,7173.601148,7092.198582,17.88,0.0025,,,,,,
1591437600,2020-06-06 10-AM,LSKBTC,7122.507123,7092.198582,7173.601148,7092.198582,31.17,0.004391,,,,,,
1591434000,2020-06-06 09-AM,LSKBTC,7117.437722,7017.54386,7173.601148,7122.507123,100.53,0.01408,,,,,,
1591430400,2020-06-06 08-AM,LSKBTC,7067.137809,7067.137809,7117.437722,7117.437722,70.93,0.009971,,,,,,
1591426800,2020-06-06 07-AM,LSKBTC,7017.54386,6978.367062,7067.137809,7067.137809,23.9,0.003416,,,,,,
1591423200,2020-06-06 06-AM,LSKBTC,6978.367062,6978.367062,7132.667618,7017.54386,50.3,0.007119,,,,,,
1591419600,2020-06-06 05-AM,LSKBTC,6978.367062,6978.367062,6978.367062,6978.367062,2.224,0.0003186,,,,,,
1591416000,2020-06-06 04-AM,LSKBTC,6978.367062,6978.367062,6978.367062,6978.367062,0,0,,,,,,
1591412400,2020-06-06 03-AM,LSKBTC,6978.367062,6978.367062,6978.367062,6978.367062,0,0,,,,,,
1591408800,2020-06-06 02-AM,LSKBTC,6944.444444,6906.077348,6978.367062,6978.367062,6.476,0.0009369,,,,,,
1591405200,2020-06-06 01-AM,LSKBTC,7052.186178,6944.444444,7107.32054,6944.444444,63.87,0.009127,,,,,,
1591401600,2020-06-06 12-AM,LSKBTC,7067.137809,7052.186178,7183.908046,7052.186178,273.98,0.03848,,,,,,
1591398000,2020-06-05 11-PM,LSKBTC,7017.54386,7017.54386,7067.137809,7067.137809,5.637,0.0007977,,,,,,
1591394400,2020-06-05 10-PM,LSKBTC,7022.47191,6973.500697,7067.137809,7017.54386,14.38,0.002041,,,,,,
1591390800,2020-06-05 09-PM,LSKBTC,6925.207756,6906.077348,7047.21635,7022.47191,372.53,0.05308,,,,,,
1591387200,2020-06-05 08-PM,LSKBTC,6825.938567,6793.478261,6925.207756,6925.207756,326.69,0.04776,,,,,,
1591383600,2020-06-05 07-PM,LSKBTC,7057.16302,6765.899865,7911.392405,6825.938567,581.59,0.08041,,,,,,
1591380000,2020-06-05 06-PM,LSKBTC,7272.727273,6978.367062,7272.727273,7057.16302,660.65,0.09272,,,,,,
