Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC,,,,,,
1601496000,2020-09-30 08-PM,XRPBTC,44782.80,44742.73,44863.17,44802.87,52744.39,1.177,,,,,,
1601492400,2020-09-30 07-PM,XRPBTC,44563.28,44503.78,44782.80,44782.80,125553.44,2.816,,,,,,
1601488800,2020-09-30 06-PM,XRPBTC,44603.03,44503.78,44662.80,44563.28,100352.74,2.25,,,,,,
1601485200,2020-09-30 05-PM,XRPBTC,44603.03,44603.03,44682.75,44603.03,35569.27,0.797,,,,,,
1601481600,2020-09-30 04-PM,XRPBTC,44682.75,44563.28,44682.75,44603.03,77857.48,1.745,,,,,,
1601478000,2020-09-30 03-PM,XRPBTC,44603.03,44583.15,44722.72,44682.75,91157.98,2.043,,,,,,
1601474400,2020-09-30 02-PM,XRPBTC,44722.72,44583.15,44722.72,44603.03,42480.42,0.9516,,,,,,
1601470800,2020-09-30 01-PM,XRPBTC,44742.73,44662.80,44762.76,44722.72,38980.5,0.8721,,,,,,
1601467200,2020-09-30 12-PM,XRPBTC,44762.76,44702.73,44883.30,44742.73,160498.97,3.583,,,,,,
1601463600,2020-09-30 11-AM,XRPBTC,44622.94,44603.03,44762.76,44762.76,24546.06,0.5493,,,,,,
1601460000,2020-09-30 10-AM,XRPBTC,44622.94,44622.94,44682.75,44622.94,23287.35,0.5217,,,,,,
1601456400,2020-09-30 09-AM,XRPBTC,44583.15,44583.15,44702.73,44622.94,111725.09,2.503,,,,,,
1601452800,2020-09-30 08-AM,XRPBTC,44523.60,44523.60,44642.86,44583.15,52682.35,1.181,,,,,,
1601449200,2020-09-30 07-AM,XRPBTC,44563.28,44483.99,44603.03,44523.60,164825.86,3.7,,,,,,
1601445600,2020-09-30 06-AM,XRPBTC,44642.86,44543.43,44642.86,44563.28,68703.59,1.541,,,,,,
1601442000,2020-09-30 05-AM,XRPBTC,44603.03,44583.15,44682.75,44642.86,26475.4,0.5932,,,,,,
1601438400,2020-09-30 04-AM,XRPBTC,44662.80,44603.03,44762.76,44603.03,123513.87,2.764,,,,,,
1601434800,2020-09-30 03-AM,XRPBTC,44662.80,44642.86,44782.80,44662.80,168408.82,3.764,,,,,,
1601431200,2020-09-30 02-AM,XRPBTC,44702.73,44642.86,44782.80,44662.80,97502.61,2.181,,,,,,
1601427600,2020-09-30 01-AM,XRPBTC,44662.80,44642.86,44782.80,44702.73,59446.49,1.33,,,,,,
1601424000,2020-09-30 12-AM,XRPBTC,44622.94,44622.94,44822.95,44662.80,129897.28,2.906,,,,,,
1601420400,2020-09-29 11-PM,XRPBTC,44523.60,44424.70,44682.75,44622.94,33068.38,0.7412,,,,,,
1601416800,2020-09-29 10-PM,XRPBTC,44583.15,44464.21,44603.03,44523.60,10781.84,0.2421,,,,,,
1601413200,2020-09-29 09-PM,XRPBTC,44642.86,44543.43,44662.80,44583.15,26994.83,0.6051,,,,,,
1601409600,2020-09-29 08-PM,XRPBTC,44682.75,44603.03,44702.73,44642.86,17620.33,0.3947,,,,,,
1601406000,2020-09-29 07-PM,XRPBTC,44682.75,44603.03,44702.73,44682.75,21611.14,0.4838,,,,,,
1601402400,2020-09-29 06-PM,XRPBTC,44583.15,44563.28,44702.73,44682.75,43926.37,0.9837,,,,,,
1601398800,2020-09-29 05-PM,XRPBTC,44523.60,44464.21,44662.80,44583.15,45345.7,1.017,,,,,,
1601395200,2020-09-29 04-PM,XRPBTC,44424.70,44424.70,44642.86,44523.60,287918.4,6.462,,,,,,
1601391600,2020-09-29 03-PM,XRPBTC,44228.22,44228.22,44503.78,44424.70,476265.72,10.73,,,,,,
1601388000,2020-09-29 02-PM,XRPBTC,43975.37,43975.37,44286.98,44228.22,56025.53,1.271,,,,,,
1601384400,2020-09-29 01-PM,XRPBTC,44014.08,43956.04,44150.11,43975.37,188539.64,4.281,,,,,,
1601380800,2020-09-29 12-PM,XRPBTC,43802.01,43763.68,44014.08,44014.08,147133.15,3.352,,,,,,
1601377200,2020-09-29 11-AM,XRPBTC,43917.44,43725.40,44033.47,43802.01,133892.5,3.057,,,,,,
1601373600,2020-09-29 10-AM,XRPBTC,43878.89,43744.53,43936.73,43917.44,202718.39,4.624,,,,,,
1601370000,2020-09-29 09-AM,XRPBTC,44169.61,43763.68,44208.66,43878.89,95826.22,2.174,,,,,,
1601366400,2020-09-29 08-AM,XRPBTC,44052.86,44052.86,44189.13,44169.61,76415.84,1.731,,,,,,
1601362800,2020-09-29 07-AM,XRPBTC,44111.16,44014.08,44150.11,44052.86,71217,1.616,,,,,,
1601359200,2020-09-29 06-AM,XRPBTC,44247.79,44111.16,44345.90,44111.16,77455.23,1.752,,,,,,
1601355600,2020-09-29 05-AM,XRPBTC,44208.66,44189.13,44306.60,44247.79,35232.27,0.7964,,,,,,
1601352000,2020-09-29 04-AM,XRPBTC,44228.22,44189.13,44286.98,44208.66,11174.46,0.2526,,,,,,
1601348400,2020-09-29 03-AM,XRPBTC,44267.37,44189.13,44286.98,44228.22,2058.69,0.04654,,,,,,
1601344800,2020-09-29 02-AM,XRPBTC,44306.60,44130.63,44306.60,44267.37,10175.15,0.2303,,,,,,
1601341200,2020-09-29 01-AM,XRPBTC,44208.66,44150.11,44345.90,44306.60,42275.31,0.9558,,,,,,
1601337600,2020-09-29 12-AM,XRPBTC,44385.26,44189.13,44483.99,44208.66,230965.53,5.22,,,,,,
1601334000,2020-09-28 11-PM,XRPBTC,44111.16,43917.44,44444.44,44385.26,337046.79,7.622,,,,,,
1601330400,2020-09-28 10-PM,XRPBTC,44189.13,43840.42,44189.13,44111.16,77814.21,1.767,,,,,,
1601326800,2020-09-28 09-PM,XRPBTC,44326.24,44189.13,44444.44,44189.13,49465.85,1.115,,,,,,
1601323200,2020-09-28 08-PM,XRPBTC,44385.26,44247.79,44404.97,44326.24,248669.08,5.61,,,,,,
1601319600,2020-09-28 07-PM,XRPBTC,44365.57,44306.60,44404.97,44385.26,31751.53,0.716,,,,,,
1601316000,2020-09-28 06-PM,XRPBTC,44286.98,44247.79,44385.26,44365.57,14249.22,0.3217,,,,,,
1601312400,2020-09-28 05-PM,XRPBTC,44208.66,44169.61,44306.60,44286.98,54382.1,1.229,,,,,,
1601308800,2020-09-28 04-PM,XRPBTC,44365.57,44150.11,44385.26,44208.66,191923.8,4.339,,,,,,
1601305200,2020-09-28 03-PM,XRPBTC,44464.21,44365.57,44503.78,44365.57,7225.25,0.1626,,,,,,
1601301600,2020-09-28 02-PM,XRPBTC,44404.97,44404.97,44523.60,44464.21,98812.84,2.222,,,,,,
1601298000,2020-09-28 01-PM,XRPBTC,44444.44,44306.60,44503.78,44404.97,109683.95,2.472,,,,,,
1601294400,2020-09-28 12-PM,XRPBTC,44563.28,44326.24,44642.86,44444.44,172026.46,3.863,,,,,,
1601290800,2020-09-28 11-AM,XRPBTC,44503.78,44464.21,44583.15,44563.28,34040.49,0.7642,,,,,,
1601287200,2020-09-28 10-AM,XRPBTC,44662.80,44503.78,44682.75,44503.78,119310.95,2.677,,,,,,
1601283600,2020-09-28 09-AM,XRPBTC,44742.73,44642.86,44762.76,44662.80,65600.89,1.468,,,,,,
1601280000,2020-09-28 08-AM,XRPBTC,44583.15,44543.43,44742.73,44742.73,40925.65,0.9161,,,,,,
1601276400,2020-09-28 07-AM,XRPBTC,44702.73,44583.15,44722.72,44583.15,17457.72,0.3909,,,,,,
1601272800,2020-09-28 06-AM,XRPBTC,44662.80,44603.03,44702.73,44702.73,48303.64,1.082,,,,,,
1601269200,2020-09-28 05-AM,XRPBTC,44523.60,44503.78,44662.80,44662.80,23747.52,0.5331,,,,,,
1601265600,2020-09-28 04-AM,XRPBTC,44503.78,44464.21,44543.43,44523.60,7524.52,0.169,,,,,,
1601262000,2020-09-28 03-AM,XRPBTC,44503.78,44483.99,44603.03,44503.78,16665.5,0.3744,,,,,,
1601258400,2020-09-28 02-AM,XRPBTC,44424.70,44424.70,44543.43,44503.78,2742.32,0.06167,,,,,,
1601254800,2020-09-28 01-AM,XRPBTC,44523.60,44424.70,44603.03,44424.70,96602.03,2.171,,,,,,
1601251200,2020-09-28 12-AM,XRPBTC,44286.98,44267.37,44622.94,44523.60,123642.77,2.781,,,,,,
1601247600,2020-09-27 11-PM,XRPBTC,44404.97,44267.37,44503.78,44286.98,15660.41,0.3526,,,,,,
1601244000,2020-09-27 10-PM,XRPBTC,44326.24,44286.98,44404.97,44404.97,13667.38,0.3083,,,,,,
1601240400,2020-09-27 09-PM,XRPBTC,44424.70,44306.60,44464.21,44326.24,19933.23,0.4487,,,,,,
1601236800,2020-09-27 08-PM,XRPBTC,44404.97,44326.24,44444.44,44424.70,42953.67,0.9673,,,,,,
1601233200,2020-09-27 07-PM,XRPBTC,44424.70,44385.26,44464.21,44404.97,171968.38,3.871,,,,,,
1601229600,2020-09-27 06-PM,XRPBTC,44444.44,44286.98,44464.21,44424.70,129266.47,2.912,,,,,,
1601226000,2020-09-27 05-PM,XRPBTC,44543.43,44444.44,44603.03,44444.44,35156.55,0.7894,,,,,,
1601222400,2020-09-27 04-PM,XRPBTC,44483.99,44345.90,44543.43,44543.43,41774.96,0.9396,,,,,,
1601218800,2020-09-27 03-PM,XRPBTC,44523.60,44444.44,44702.73,44483.99,46747.78,1.05,,,,,,
1601215200,2020-09-27 02-PM,XRPBTC,44444.44,44444.44,44583.15,44523.60,2727.37,0.06127,,,,,,
1601211600,2020-09-27 01-PM,XRPBTC,44523.60,44444.44,44642.86,44444.44,89064.94,1.997,,,,,,
1601208000,2020-09-27 12-PM,XRPBTC,44563.28,44503.78,44662.80,44523.60,2233.99,0.05009,,,,,,
1601204400,2020-09-27 11-AM,XRPBTC,44464.21,44424.70,44563.28,44563.28,40682.43,0.9142,,,,,,
1601200800,2020-09-27 10-AM,XRPBTC,44563.28,44444.44,44622.94,44464.21,35179.89,0.7906,,,,,,
1601197200,2020-09-27 09-AM,XRPBTC,44385.26,44385.26,44583.15,44563.28,31655.8,0.711,,,,,,
1601193600,2020-09-27 08-AM,XRPBTC,44345.90,44345.90,44523.60,44385.26,1386.91,0.03121,,,,,,
1601190000,2020-09-27 07-AM,XRPBTC,44464.21,44345.90,44503.78,44345.90,36193.8,0.8151,,,,,,
1601186400,2020-09-27 06-AM,XRPBTC,44150.11,44130.63,44483.99,44464.21,128193.36,2.9,,,,,,
1601182800,2020-09-27 05-AM,XRPBTC,44111.16,44072.28,44189.13,44150.11,26819.18,0.6074,,,,,,
1601179200,2020-09-27 04-AM,XRPBTC,44150.11,44091.71,44169.61,44111.16,320.51,0.007261,,,,,,
